mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,0,0
21.0,4,120.0,87.0,2979,19.5,72,2,24.0,21.888855
26.0,4,96.0,69.0,2189,18.0,72,2,22.0,25.07953
22.0,4,122.0,86.0,2395,16.0,72,1,18.0,22.568838
28.0,4,97.0,92.0,2288,17.0,72,3,30.0,31.394499
23.0,4,120.0,97.0,2506,14.5,72,3,26.0,26.04709
28.0,4,98.0,80.0,2164,15.0,72,1,36.0,32.02425
27.0,4,97.0,88.0,2100,16.5,72,3,19.0,22.615076
13.0,8,350.0,175.0,4100,13.0,73,1,16.0,15.58846
14.0,8,304.0,150.0,3672,11.5,73,1,43.4,31.231956
13.0,8,350.0,145.0,3988,13.0,73,1,29.0,30.177681
14.0,8,302.0,137.0,4042,14.5,73,1,16.0,16.12435
15.0,8,318.0,150.0,3777,12.5,73,1,23.0,27.674746
12.0,8,429.0,198.0,4952,11.5,73,1,28.0,26.99574
13.0,8,400.0,150.0,4464,12.0,73,1,14.0,13.242421
13.0,8,351.0,158.0,4363,13.0,73,1,34.5,30.197416
14.0,8,318.0,150.0,4237,14.5,73,1,15.0,20.345823
13.0,8,440.0,215.0,4735,11.0,73,1,26.0,29.611328
12.0,8,455.0,225.0,4951,11.0,73,1,22.0,25.657743
13.0,8,360.0,175.0,3821,11.0,73,1,13.0,12.036229
18.0,6,225.0,105.0,3121,16.5,73,1,25.1,26.681826
16.0,6,250.0,100.0,3278,18.0,73,1,15.0,11.279286
18.0,6,232.0,100.0,2945,16.0,73,1,14.0,14.847127
18.0,6,250.0,88.0,3021,16.5,73,1,24.0,26.03208
23.0,6,198.0,95.0,2904,16.0,73,1,19.0,18.842196
26.0,4,97.0,46.0,1950,21.0,73,2,22.0,25.001877
11.0,8,400.0,150.0,4997,14.0,73,1,39.4,31.931566
12.0,8,400.0,167.0,4906,12.5,73,1,33.7,31.9716
13.0,8,360.0,170.0,4654,13.0,73,1,26.0,27.584171
12.0,8,350.0,180.0,4499,12.5,73,1,33.5,31.85441
18.0,6,232.0,100.0,2789,15.0,73,1,28.0,25.586315
20.0,4,97.0,88.0,2279,19.0,73,3,26.8,26.75265
21.0,4,140.0,72.0,2401,19.5,73,1,18.0,20.114382
22.0,4,108.0,94.0,2379,16.5,73,3,25.0,26.448496
18.0,3,70.0,90.0,2124,13.5,73,3,23.0,22.490412
19.0,4,122.0,85.0,2310,18.5,73,1,36.1,32.79741
21.0,6,155.0,107.0,2472,14.0,73,1,14.0,12.848554
26.0,4,98.0,90.0,2265,15.5,73,2,10.0,11.572408
15.0,8,350.0,145.0,4082,13.0,73,1,35.1,34.57718
16.0,8,400.0,230.0,4278,9.5,73,1,11.0,11.06088
29.0,4,68.0,49.0,1867,19.5,73,2,18.5,21.020067
24.0,4,116.0,75.0,2158,15.5,73,2,30.5,29.954287
20.0,4,114.0,91.0,2582,14.0,73,2,39.1,34.695427
19.0,4,121.0,112.0,2868,15.5,73,2,14.0,14.062215
15.0,8,318.0,150.0,3399,11.0,73,1,20.2,20.273096
24.0,4,121.0,110.0,2660,14.0,73,2,33.5,30.008778
20.0,6,156.0,122.0,2807,13.5,73,3,32.2,31.283525
11.0,8,350.0,180.0,3664,11.0,73,1,13.0,12.425786
20.0,6,198.0,95.0,3102,16.5,74,1,20.2,25.639242
21.0,6,200.0,93.5,2875,17.0,74,1,11.0,9.568616
19.0,6,232.0,100.0,2901,16.0,74,1,31.3,29.995941
15.0,6,250.0,100.0,3336,17.0,74,1,13.0,12.308736
31.0,4,79.0,67.0,1950,19.0,74,3,27.0,29.31105
26.0,4,122.0,80.0,2451,16.5,74,1,32.0,33.955704
32.0,4,71.0,65.0,1836,21.0,74,3,13.0,12.277631
25.0,4,140.0,75.0,2542,17.0,74,1,15.0,13.975606
16.0,6,250.0,100.0,3781,17.0,74,1,22.0,25.722506
16.0,6,258.0,110.0,3632,18.0,74,1,23.2,26.75857
18.0,6,225.0,105.0,3613,16.5,74,1,29.5,30.714617
16.0,8,302.0,140.0,4141,14.0,74,1,25.0,27.380554
13.0,8,350.0,150.0,4699,14.5,74,1,20.0,22.04053
14.0,8,318.0,150.0,4457,13.5,74,1,12.0,9.187619
14.0,8,302.0,140.0,4638,16.0,74,1,17.0,16.68205
14.0,8,304.0,150.0,4257,15.5,74,1,15.0,18.411661
29.0,4,98.0,83.0,2219,16.5,74,2,28.0,30.122366
26.0,4,79.0,67.0,1963,15.5,74,2,19.2,21.108244
26.0,4,97.0,78.0,2300,14.5,74,2,26.0,29.072744
31.0,4,76.0,52.0,1649,16.5,74,3,20.2,24.438848
32.0,4,83.0,61.0,2003,19.0,74,3,21.0,26.083164
28.0,4,90.0,75.0,2125,14.5,74,1,24.0,27.753317
24.0,4,90.0,75.0,2108,15.5,74,2,34.2,29.738476
26.0,4,116.0,75.0,2246,14.0,74,2,21.5,23.50857
24.0,4,120.0,97.0,2489,15.0,74,3,14.0,11.093869
26.0,4,108.0,93.0,2391,15.5,74,3,27.4,27.513086
31.0,4,79.0,67.0,2000,16.0,74,2,36.0,32.754566
19.0,6,225.0,95.0,3264,16.0,75,1,15.0,16.222464
18.0,6,250.0,105.0,3459,16.0,75,1,22.0,21.94071
15.0,6,250.0,72.0,3432,21.0,75,1,34.4,31.889467
15.0,6,250.0,72.0,3158,19.5,75,1,24.5,26.011457
16.0,8,400.0,170.0,4668,11.5,75,1,19.4,19.284414
15.0,8,350.0,145.0,4440,14.0,75,1,26.0,28.760134
16.0,8,318.0,150.0,4498,14.5,75,1,16.0,17.072096
14.0,8,351.0,148.0,4657,13.5,75,1,22.5,22.707228
17.0,6,231.0,110.0,3907,21.0,75,1,24.0,24.116339
16.0,6,250.0,105.0,3897,18.5,75,1,21.0,25.659048
15.0,6,258.0,110.0,3730,19.0,75,1,26.4,27.72627
18.0,6,225.0,95.0,3785,19.0,75,1,15.0,15.350364
21.0,6,231.0,110.0,3039,15.0,75,1,27.0,26.77004
20.0,8,262.0,110.0,3221,13.5,75,1,31.0,31.379812
13.0,8,302.0,129.0,3169,12.0,75,1,25.0,25.005346
29.0,4,97.0,75.0,2171,16.0,75,3,13.0,12.336799
23.0,4,140.0,83.0,2639,17.0,75,1,29.5,32.725426
20.0,6,232.0,100.0,2914,16.0,75,1,18.0,18.579977
23.0,4,140.0,78.0,2592,18.5,75,1,17.7,20.20481
24.0,4,134.0,96.0,2702,13.5,75,3,14.0,15.589194
25.0,4,90.0,71.0,2223,16.5,75,2,36.0,33.18683
24.0,4,119.0,97.0,2545,17.0,75,3,36.0,29.400518
18.0,6,171.0,97.0,2984,14.5,75,1,30.9,30.24758
29.0,4,90.0,70.0,1937,14.0,75,2,38.0,33.408134
19.0,6,232.0,90.0,3211,17.0,75,1,43.1,34.414284
23.0,4,115.0,95.0,2694,15.0,75,2,23.0,25.400206
23.0,4,120.0,88.0,2957,17.0,75,2,36.4,31.672071
22.0,4,121.0,98.0,2945,14.5,75,2,18.0,20.299444
25.0,4,121.0,115.0,2671,13.5,75,2,18.2,20.143667
33.0,4,91.0,53.0,1795,17.5,75,3,26.0,29.093534
28.0,4,107.0,86.0,2464,15.5,76,2,19.0,27.80004
25.0,4,116.0,81.0,2220,16.9,76,2,15.5,16.446463
25.0,4,140.0,92.0,2572,14.9,76,1,18.5,19.584845
26.0,4,98.0,79.0,2255,17.7,76,1,24.0,25.189688
27.0,4,101.0,83.0,2202,15.3,76,2,18.6,20.356726
17.5,8,305.0,140.0,4215,13.0,76,1,20.0,28.500898
16.0,8,318.0,150.0,4190,13.0,76,1,23.0,26.903273
15.5,8,304.0,120.0,3962,13.9,76,1,24.0,26.106527
14.5,8,351.0,152.0,4215,12.8,76,1,28.4,26.15061
22.0,6,225.0,100.0,3233,15.4,76,1,31.5,32.449173
22.0,6,250.0,105.0,3353,14.5,76,1,20.8,23.238302
24.0,6,200.0,81.0,3012,17.6,76,1,27.0,30.919226
22.5,6,232.0,90.0,3085,17.6,76,1,23.0,25.845755
29.0,4,85.0,52.0,2035,22.2,76,1,27.0,27.312689
24.5,4,98.0,60.0,2164,22.1,76,1,15.0,18.617102
29.0,4,90.0,70.0,1937,14.2,76,2,24.0,26.490347
33.0,4,91.0,53.0,1795,17.4,76,3,27.0,27.824308
20.0,6,225.0,100.0,3651,17.7,76,1,20.0,19.579016
18.0,6,250.0,78.0,3574,21.0,76,1,25.4,25.671835
18.5,6,250.0,110.0,3645,16.2,76,1,13.0,12.543357
17.5,6,258.0,95.0,3193,17.8,76,1,30.5,30.713408
29.5,4,97.0,71.0,1825,12.2,76,2,32.4,33.03379
32.0,4,85.0,70.0,1990,17.0,76,3,32.8,35.599815
28.0,4,97.0,75.0,2155,16.4,76,3,25.0,25.51483
26.5,4,140.0,72.0,2565,13.6,76,1,17.5,17.094946
20.0,4,130.0,102.0,3150,15.7,76,2,15.0,17.379782
13.0,8,318.0,150.0,3940,13.2,76,1,22.0,26.352568
19.0,4,120.0,88.0,3270,21.9,76,2,16.0,18.14414
19.0,6,156.0,108.0,2930,15.5,76,3,15.0,16.366903
16.5,6,168.0,120.0,3820,16.7,76,2,23.0,27.59194
16.5,8,350.0,180.0,4380,12.1,76,1,23.0,20.08103
13.0,8,350.0,145.0,4055,12.0,76,1,14.0,14.183295
13.0,8,302.0,130.0,3870,15.0,76,1,38.0,25.604925
13.0,8,318.0,150.0,3755,14.0,76,1,24.0,28.443983
31.5,4,98.0,68.0,2045,18.5,77,3,18.0,30.13259
30.0,4,111.0,80.0,2155,14.8,77,1,30.0,29.746893
36.0,4,79.0,58.0,1825,18.6,77,2,15.0,16.59693
25.5,4,122.0,96.0,2300,15.5,77,1,13.0,16.722967
33.5,4,85.0,70.0,1945,16.8,77,3,33.0,33.41623
17.5,8,305.0,145.0,3880,12.5,77,1,13.0,17.915457
17.0,8,260.0,110.0,4060,19.0,77,1,29.9,33.361473
15.5,8,318.0,145.0,4140,13.7,77,1,25.8,26.66142
15.0,8,302.0,130.0,4295,14.9,77,1,21.0,21.639112
17.5,6,250.0,110.0,3520,16.4,77,1,29.0,30.80821
20.5,6,231.0,105.0,3425,16.9,77,1,25.4,26.07131
19.0,6,225.0,100.0,3630,17.7,77,1,38.1,35.192764
18.5,6,250.0,98.0,3525,19.0,77,1,13.0,16.912283
16.0,8,400.0,180.0,4220,11.1,77,1,28.0,31.135962
15.5,8,350.0,170.0,4165,11.4,77,1,25.5,25.964163
15.5,8,400.0,190.0,4325,12.2,77,1,14.0,15.075736
16.0,8,351.0,149.0,4335,14.5,77,1,14.0,14.201331
29.0,4,97.0,78.0,1940,14.5,77,2,17.0,18.308462
24.5,4,151.0,88.0,2740,16.0,77,1,24.5,31.093405
26.0,4,97.0,75.0,2265,18.2,77,3,27.9,25.050528
25.5,4,140.0,89.0,2755,15.8,77,1,14.0,17.929296
30.5,4,98.0,63.0,2051,17.0,77,1,17.5,18.611761
33.5,4,98.0,83.0,2075,15.9,77,1,22.0,26.194128
30.0,4,97.0,67.0,1985,16.4,77,3,21.0,21.544912
30.5,4,97.0,78.0,2190,14.1,77,2,29.0,30.124273
22.0,6,146.0,97.0,2815,14.5,77,3,14.0,13.396544
21.5,4,121.0,110.0,2600,12.8,77,2,20.6,21.411757
21.5,3,80.0,110.0,2720,13.5,77,3,20.0,21.618666
43.1,4,90.0,48.0,1985,21.5,78,2,12.0,6.700957
36.1,4,98.0,66.0,1800,14.4,78,1,30.0,27.4624
32.8,4,78.0,52.0,1985,19.4,78,3,13.0,13.073134
39.4,4,85.0,70.0,2070,18.6,78,3,11.0,15.812636
36.1,4,91.0,60.0,1800,16.4,78,3,16.0,15.822631
19.9,8,260.0,110.0,3365,15.5,78,1,14.0,13.143981
19.4,8,318.0,140.0,3735,13.2,78,1,19.2,19.287367
20.2,8,302.0,139.0,3570,12.8,78,1,34.1,30.929502
19.2,6,231.0,105.0,3535,19.2,78,1,12.0,7.1523423
20.5,6,200.0,95.0,3155,18.2,78,1,23.9,27.894545
20.2,6,200.0,85.0,2965,15.8,78,1,14.0,8.798217
25.1,4,140.0,88.0,2720,15.4,78,1,14.0,15.311919
20.5,6,225.0,100.0,3430,17.2,78,1,33.0,30.589735
19.4,6,232.0,90.0,3210,17.2,78,1,27.2,28.604048
20.6,6,231.0,105.0,3380,15.8,78,1,32.0,29.23847
20.8,6,200.0,85.0,3070,16.7,78,1,16.0,11.076262
18.6,6,225.0,110.0,3620,18.7,78,1,44.3,31.874983
18.1,6,258.0,120.0,3410,15.1,78,1,29.8,32.15924
19.2,8,305.0,145.0,3425,13.2,78,1,15.5,15.913924
17.7,6,231.0,165.0,3445,13.4,78,1,31.8,31.748053
18.1,8,302.0,139.0,3205,11.2,78,1,18.0,18.703505
17.5,8,318.0,140.0,4080,13.7,78,1,19.0,25.303137
30.0,4,98.0,68.0,2155,16.5,78,1,37.3,29.580984
27.5,4,134.0,95.0,2560,14.2,78,3,23.7,28.408377
27.2,4,119.0,97.0,2300,14.7,78,3,17.6,17.919096
30.9,4,105.0,75.0,2230,14.5,78,1,34.0,30.324621
21.1,4,134.0,95.0,2515,14.8,78,3,29.0,28.611845
23.2,4,156.0,105.0,2745,16.7,78,1,34.0,30.974745
23.8,4,151.0,85.0,2855,17.6,78,1,16.0,15.616927
23.9,4,119.0,97.0,2405,14.9,78,3,20.0,25.63529
20.3,5,131.0,103.0,2830,15.9,78,2,27.2,24.583158
17.0,6,163.0,125.0,3140,13.6,78,2,38.0,32.466194
21.6,4,121.0,115.0,2795,15.7,78,2,18.0,20.220861
16.2,6,163.0,133.0,3410,15.8,78,2,26.0,28.314413
31.5,4,89.0,71.0,1990,14.9,78,2,28.8,25.813673
29.5,4,98.0,68.0,2135,16.6,78,3,31.0,28.41937
21.5,6,231.0,115.0,3245,15.4,79,1,18.1,20.845755
19.8,6,200.0,85.0,2990,18.2,79,1,21.6,25.570433
22.3,4,140.0,88.0,2890,17.3,79,1,14.0,9.2178335
20.2,6,232.0,90.0,3265,18.2,79,1,20.2,22.025251
20.6,6,225.0,110.0,3360,16.6,79,1,13.0,10.715301
17.0,8,305.0,130.0,3840,15.4,79,1,19.2,20.229567
17.6,8,302.0,129.0,3725,13.4,79,1,25.0,27.892622
16.5,8,351.0,138.0,3955,13.2,79,1,18.0,16.926039
18.2,8,318.0,135.0,3830,15.2,79,1,25.0,24.736296
16.9,8,350.0,155.0,4360,14.9,79,1,13.0,10.765304
15.5,8,351.0,142.0,4054,14.3,79,1,38.0,32.59012
19.2,8,267.0,125.0,3605,15.0,79,1,13.0,16.855085
18.5,8,360.0,150.0,3940,13.0,79,1,44.6,31.970022
31.9,4,89.0,71.0,1925,14.0,79,2,27.2,28.285246
34.1,4,86.0,65.0,1975,15.2,79,3,19.4,21.644644
35.7,4,98.0,80.0,1915,14.4,79,1,30.0,26.21694
27.4,4,121.0,80.0,2670,15.0,79,1,40.9,33.622726
25.4,5,183.0,77.0,3530,20.1,79,2,24.0,25.983084
23.0,8,350.0,125.0,3900,17.4,79,1,17.0,16.999144
27.2,4,141.0,71.0,3190,24.8,79,2,23.0,22.585081
23.9,8,260.0,90.0,3420,22.2,79,1,29.0,27.953161
34.2,4,105.0,70.0,2200,13.2,79,1,20.5,19.878965
34.5,4,105.0,70.0,2150,14.9,79,1,19.0,22.421408
31.8,4,85.0,65.0,2020,19.2,79,3,17.0,22.44547
37.3,4,91.0,69.0,2130,14.7,79,2,13.0,4.0050035
28.4,4,151.0,90.0,2670,16.0,79,1,23.9,21.830763
28.8,6,173.0,115.0,2595,11.3,79,1,18.0,21.164518
26.8,6,173.0,115.0,2700,12.9,79,1,13.0,15.275619
33.5,4,151.0,90.0,2556,13.2,79,1,16.5,12.388381
41.5,4,98.0,76.0,2144,14.7,80,2,27.5,26.453077
38.1,4,89.0,60.0,1968,18.8,80,3,31.5,30.398115
32.1,4,98.0,70.0,2120,15.5,80,1,37.7,31.886763
37.2,4,86.0,65.0,2019,16.4,80,3,15.0,12.349257
28.0,4,151.0,90.0,2678,16.5,80,1,40.8,31.58737
26.4,4,140.0,88.0,2870,18.1,80,1,26.6,27.364004
24.3,4,151.0,90.0,3003,20.1,80,1,17.0,17.664686
19.1,6,225.0,90.0,3381,18.7,80,1,35.7,31.161932
34.3,4,97.0,78.0,2188,15.8,80,2,12.0,6.6455216
29.8,4,134.0,90.0,2711,15.5,80,3,37.2,31.447668
31.3,4,120.0,75.0,2542,17.5,80,3,37.0,35.141403
37.0,4,119.0,92.0,2434,15.0,80,3,27.0,26.984367
32.2,4,108.0,75.0,2265,15.2,80,3,13.0,8.644592
46.6,4,86.0,65.0,2110,17.9,80,3,28.0,26.137842
27.9,4,156.0,105.0,2800,14.4,80,1,24.3,25.820175
40.8,4,85.0,65.0,2110,19.2,80,3,26.6,8.352371
44.3,4,90.0,48.0,2085,21.7,80,2,25.0,28.93849
43.4,4,90.0,48.0,2335,23.7,80,2,16.0,15.051083
36.4,5,121.0,67.0,2950,19.9,80,2,19.0,13.228676
30.0,4,146.0,67.0,3250,21.8,80,2,16.0,12.601624
44.6,4,91.0,67.0,1850,13.8,80,3,18.0,13.378796
40.9,4,85.0,93.5,1835,17.3,80,2,21.5,22.117104
33.8,4,97.0,67.0,2145,18.0,80,3,33.5,26.318275
29.8,4,89.0,62.0,1845,15.3,80,2,16.9,16.627266
32.7,6,168.0,132.0,2910,11.4,80,3,18.0,12.289501
23.7,3,70.0,100.0,2420,12.5,80,3,29.0,26.409616
35.0,4,122.0,88.0,2500,15.1,80,2,15.5,17.181503
23.6,4,140.0,93.5,2905,14.3,80,1,25.0,27.983112
32.4,4,107.0,72.0,2290,17.0,80,3,33.8,33.48862
27.2,4,135.0,84.0,2490,15.7,81,1,34.5,28.453562
26.6,4,151.0,84.0,2635,16.4,81,1,17.0,16.5755
25.8,4,156.0,92.0,2620,14.4,81,1,23.6,25.126865
23.5,6,173.0,110.0,2725,12.6,81,1,25.5,25.243996
30.0,4,135.0,84.0,2385,12.9,81,1,18.0,16.301025
39.1,4,79.0,58.0,1755,16.9,81,3,26.0,29.96249
39.0,4,86.0,64.0,1875,16.4,81,1,29.0,32.865334
35.1,4,81.0,60.0,1760,16.1,81,3,23.5,23.787218
32.3,4,97.0,67.0,2065,17.8,81,3,15.0,13.177326
37.0,4,85.0,65.0,1975,19.4,81,3,21.0,21.32591
37.7,4,89.0,62.0,2050,17.3,81,3,17.6,25.51073
34.1,4,91.0,68.0,1985,16.0,81,3,18.0,21.511395
34.7,4,105.0,63.0,2215,14.9,81,1,20.5,23.33495
34.4,4,98.0,65.0,2045,16.2,81,1,33.0,31.990545
29.9,4,98.0,65.0,2380,20.7,81,1,25.0,24.26378
33.0,4,105.0,74.0,2190,14.2,81,2,20.0,14.409321
34.5,4,100.0,93.5,2320,15.8,81,2,20.3,23.358822
33.7,4,107.0,75.0,2210,14.4,81,3,22.0,16.45718
32.4,4,108.0,75.0,2350,16.8,81,3,18.0,12.135323
32.9,4,119.0,100.0,2615,14.8,81,3,35.0,29.72314
31.6,4,120.0,74.0,2635,18.3,81,3,9.0,-0.59915197
28.1,4,141.0,80.0,3230,20.4,81,2,26.5,27.444239
30.7,6,145.0,76.0,3160,19.6,81,2,23.0,23.461895
25.4,6,168.0,116.0,2900,12.6,81,3,34.7,33.259174
24.2,6,146.0,120.0,2930,13.8,81,3,25.0,21.78338
22.4,6,231.0,110.0,3415,15.8,81,1,31.9,32.229897
26.6,8,350.0,105.0,3725,19.0,81,1,19.0,17.451378
20.2,6,200.0,88.0,3060,17.1,81,1,35.0,28.056072
17.6,6,225.0,85.0,3465,16.6,81,1,19.0,13.820826
28.0,4,112.0,88.0,2605,19.6,82,1,24.0,23.387995
27.0,4,112.0,88.0,2640,18.6,82,1,14.0,11.905647
34.0,4,112.0,88.0,2395,18.0,82,1,29.8,27.484434
31.0,4,112.0,85.0,2575,16.2,82,1,28.0,30.0488
29.0,4,135.0,84.0,2525,16.0,82,1,12.0,19.223866
27.0,4,151.0,90.0,2735,18.0,82,1,18.0,18.675724
24.0,4,140.0,92.0,2865,16.4,82,1,22.0,23.926975
23.0,4,151.0,93.5,3035,20.5,82,1,30.7,28.739418
36.0,4,105.0,74.0,1980,15.3,82,2,12.0,16.179138
37.0,4,91.0,68.0,2025,18.2,82,3,32.3,34.366806
31.0,4,91.0,68.0,1970,17.6,82,3,31.0,30.683298
38.0,4,105.0,63.0,2125,14.7,82,1,19.1,24.580257
36.0,4,98.0,70.0,2125,17.3,82,1,20.6,20.714859
36.0,4,120.0,88.0,2160,14.5,82,3,46.6,33.922253
36.0,4,107.0,75.0,2205,14.5,82,3,26.0,24.56195
34.0,4,108.0,70.0,2245,16.9,82,3,32.4,32.067287
38.0,4,91.0,67.0,1965,15.0,82,3,10.0,13.818928
32.0,4,91.0,67.0,1965,15.7,82,3,14.0,17.964996
38.0,4,91.0,67.0,1995,16.2,82,3,26.0,27.433159
25.0,6,181.0,110.0,2945,16.4,82,1,20.0,22.978659
38.0,6,262.0,85.0,3015,17.0,82,1,14.0,11.519695
26.0,4,156.0,92.0,2585,14.5,82,1,20.0,16.497078
22.0,6,232.0,112.0,2835,14.7,82,1,22.4,21.563358
32.0,4,144.0,96.0,2665,13.9,82,3,17.5,14.578308
36.0,4,135.0,84.0,2370,13.0,82,1,24.0,28.033703
27.0,4,151.0,90.0,2950,17.3,82,1,16.2,16.441013
27.0,4,140.0,86.0,2790,15.6,82,1,20.5,21.450802
44.0,4,97.0,52.0,2130,24.6,82,2,32.0,31.584572
32.0,4,135.0,84.0,2295,11.6,82,1,19.9,16.31633
28.0,4,120.0,79.0,2625,18.6,82,1,19.0,20.990307
31.0,4,119.0,82.0,2720,19.4,82,1,24.2,22.43776
